,mad_score_ruonia,mad_score_spread,flag_end_period,MAD_score_rate_spread,MAD_score_cover,Flag_Demand,MAD_score_repo_volume,Tax_Week_Flag,End_of_Month_Flag,End_of_Quarter_Flag,Seasonal_Factor,MAD_score_yield_spread,Flag_Nedospros,Flag_PeresprosMAD_score_CBR,MAD_score_Roskazna,Flag_Budget_Drain,Flag_Treasury_Placement_Drop,MAD_score_cover_m3
1037,6.590909090909087,-0.0736842105263205,0.0,0.0,0.0,False,0.0,0,0,0,1.0,1.9085794458930003,0.0,0.0,0.4649628481377146,False,True,-0.3176321247919433
1038,6.590909090909087,-0.0736842105263205,0.0,0.0,0.0,False,0.0,0,0,0,1.0,1.9085794458930003,0.0,0.0,0.7786211254238248,False,True,-0.2953819801153681
1039,6.590909090909087,-0.0736842105263205,0.0,0.0,0.0,False,0.0,0,0,0,1.0,1.9085794458930003,0.0,0.0,0.7786211254233422,False,True,-0.2953819801153681
1040,6.4864864864864895,-0.0736842105263205,0.0,0.0,0.0,False,0.0,0,0,0,1.0,1.9085794458930003,0.0,0.0,0.7158894699659913,False,True,-0.2953819801153681
1041,6.549549549549552,-0.0736842105263205,0.0,0.0,0.0,False,0.0,0,0,0,1.0,-0.5438559456524237,1.0,1.0,0.6937861802698219,False,True,-0.5101391812372966
1042,6.693693693693697,-0.0736842105263205,0.0,0.0,0.0,False,0.0,0,0,0,1.0,-0.5438559456524237,0.0,0.0,0.9217537928682604,False,True,-0.5101391812372966
1043,6.891891891891896,-0.0736842105263205,0.0,0.0,0.0,False,0.0,0,0,0,1.0,-0.5438559456524237,0.0,0.0,1.089034508774236,False,True,-0.5101391812372966
1044,6.891891891891896,-0.0736842105263205,0.0,0.0,0.0,False,0.0,0,0,0,1.0,-0.5438559456524237,0.0,0.0,1.18689749986435,False,True,-0.5110246007892953
1045,6.891891891891896,-0.0736842105263205,0.0,0.0,0.0,False,0.0,0,0,0,1.0,-0.5438559456524237,0.0,0.0,1.2749041913944117,False,True,-0.5078039414062858
1046,7.045045045045043,-0.0736842105263205,1.0,0.8541521284019468,20.0203,True,-1.0,0,0,0,1.0,-0.5438559456524237,0.0,0.0,1.198132555734605,False,True,-0.5078039414062858
1047,7.15315315315315,-0.0736842105263205,1.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-0.5438559456524237,0.0,0.0,1.0311288290308338,False,True,-0.5078039414062858
1048,6.98198198198198,-0.4433646466165651,1.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,0.7096139857700451,1.0,1.0,0.9644104097855803,False,True,-0.3637110245836963
1049,7.234234234234232,-0.4433646466165651,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,0.7096139857700451,0.0,0.0,1.0265216902506538,False,True,-0.3637110245836963
1050,7.187500000000004,-0.4433646466165651,0.0,0.0,0.0,False,0.0,0,0,0,1.0,0.7096139857700451,0.0,0.0,1.031328098636204,False,True,-0.3637110245836963
